,Tamil Nadu
Ariyalur,178500.0
Chennai,1047350902.1899999
Coimbatore,135912761.0
Cuddalore,10101838.0
Dharmapuri,840000.0
Dindigul,9259206.0
Erode,7956382.0
Kanchipuram,7467943.0
Kanyakumari,6949385.0
Karur,251000.0
Krishnagiri,6998029.0
Madurai,19759325.0
Nagapattinam,8484860.0
Namakkal,0.0
Nilgiris,4068000.0
Perambalur,133000.0
Pudukkottai,0.0
Ramanathapuram,6645000.0
Salem,11426722.0
Sivaganga,1118000.0
Thanjavur,4595250.0
Theni,363570.0
Thoothukudi,25400000.0
Tiruchirappalli,1000000.0
Tirunelveli,46240494.0
Tiruppur,100000.0
Tiruvallur,680000.0
Tiruvannamalai,120386.0
Tiruvarur,7500000.0
Vellore,2158232215.0
Viluppuram,0.0
Virudhunagar,15920000.0
