,SNo.,company,amount
0,1,Bonfiglioli Transmissions Private Limited,"2,500,000.00"
1,2,Salcomp Manufacturing India Private Limited,"2,390,778.00"
2,3,Minda Sai Limited,"952,000.00"
3,4,Akzo Nobel India Limited,"740,000.00"
4,5,Chennai Radha Engineering Works Private Limited,"387,000.00"
5,6,Sun Pharmaceutical Industries Limited,"350,000.00"
6,7,Sundaram Bnp Paribas Home Finance Limited,"105,000.00"
7,8,Power Grid Corporation Of India Limited,"32,000.00"
8,9,Stahl India Private Limited,"10,255.00"
9,10,Mahle Filter Systems (India) Private Limited,910.00
10,11,Spicer India Private Limited,0.00
