,SNo.,company,amount
0,1,Narayanpur Power Company Private Limited,"5,000,000.00"
1,2,Cisco Systems Capital (India) Private Limited,"2,600,000.00"
2,3,Kewaunee Labway India Private Limited,"800,000.00"
3,4,Ramgad Minerals And Mining Limited,"200,000.00"
4,5,Cisco Development India Private Limited,"100,000.00"
5,6,Real Technical Solutions Private Limited,0.00
6,7,Ishan Technical Plant Services Private Limited,0.00
7,8,Talento Technical Plant Services Private  Limited,0.00
8,9,Jai Bharat Technical Services Private Limited,0.00
9,10,Industrial Techno Man Power Supply & Services Private Limited,0.00
10,11,Bkg Mining Private Limited,0.00
