,SNo.,company,amount
0,1,Mpp Technologies Private Limited,"1,800,000.00"
1,2,Renew Wind Energy (Ap 3) Private Limited,"1,400,000.00"
2,3,Yokogawa Ia Technologies India Private Limited,"600,000.00"
3,4,Sonus Networks India Private Limited,"300,000.00"
4,5,Kern-Liebers (India) Private Limited,"100,000.00"
