,Bihar
Araria,0.0
Arwal,0.0
Aurangabad,0.0
Banka,791000.0
Begusarai,987000.0
Bhagalpur,0.0
Bhojpur,0.0
Buxar,0.0
Darbhanga,0.0
East Champaran (Motihari),0.0
Gaya,4895000.0
Gopalganj,0.0
Jamui,0.0
Jehanabad,1600000.0
Kaimur ,0.0
Katihar,47220.0
Khagaria,0.0
Kishanganj,0.0
Lakhisarai,0.0
Madhepura,0.0
Madhubani,16500.0
Munger,500000.0
Muzaffarpur,24600000.0
Nalanda,1684000.0
Nawada,0.0
Patna,22459858.0
Purnia,0.0
Rohtas,0.0
Saharsa,0.0
Samastipur,0.0
Saran,2422000.0
Sheikhpura,0.0
Sheohar,0.0
Sitamarhi,1979740.0
Siwan,0.0
Supaul,0.0
Vaishali,0.0
West Champaran,0.0
