,Kerala
Alappuzha,200000.0
Ernakulam,148700000.0
Idukki,6000000.0
Kannur,0.0
Kasaragod,0.0
Kollam,2100000.0
Kottayam,5800000.0
Kozhikode,2400000.0
Malappuram,5000000.0
Palakkad,4700000.0
Pathanamthitta,0.0
Thiruvananthapuram,20100000.0
Thrissur,124400000.0
Wayanad,4600000.0
