,SNo.,company,amount
0,1,Cochin Shipyard Limited,"3,000,000.00"
1,2,Hewlett Packard Financial Services (India) Private Ltd,"1,500,000.00"
2,3,Alkem Laboratories Limited,"100,000.00"
