,Himachal Pradesh
Bilaspur,14674.0
Chamba,5626752.5
Hamirpur,2945000.0
Kangra,7332424.18
Kinnaur,0.0
Kullu,0.0
Lahaul Spiti,0.0
Mandi,1450000.0
Shimla,22828534.0
Sirmaur ,0.0
Solan,279264677.0
Una,2100000.0
